Source,Target
"bericbranisa","is_petnica"
"markovic_95","is_petnica"
"nebojsajovanovi","is_petnica"
"bstasa_18","is_petnica"
"lukabanda","is_petnica"
"marijakea","is_petnica"
"botanicarumetnik","is_petnica"
"marijailic2","is_petnica"
"anamarija.balaz","is_petnica"
"_majamarkovic","is_petnica"
"nina_sisovic","is_petnica"
"misspetrovicc","is_petnica"
"v.a.l.e.r.i.ana","is_petnica"
"input.doo","is_petnica"
"ice_bear_74","is_petnica"
"tibia_23","is_petnica"
"ljubinkaaksic","is_petnica"
"yokishast","is_petnica"
"kliker_it_centar_za_decu","is_petnica"
"marrijar","is_petnica"
"mitrovic.mila","is_petnica"
"tijana_pavlovic_","is_petnica"
"kosihitac","is_petnica"
"milosmarijastevanovic","is_petnica"
"branislavbor134","is_petnica"
"violeta_t33","is_petnica"
"tsladja123","is_petnica"
"mmilky27","is_petnica"
"maloletni67untovnik","is_petnica"
"sljivander","is_petnica"
"lil.pill","is_petnica"
"dina.f04","is_petnica"
"gordanagocamilutinovic","is_petnica"
"mickajloo","is_petnica"
"doga_stamparija","is_petnica"
"_deadliners_","is_petnica"
"dimitrije_97","is_petnica"
"velibor.zivic2018","is_petnica"
"zunicklara","is_petnica"
"drowned_mermaid_","is_petnica"
"_sole.mio","is_petnica"
"d_dinulovic","is_petnica"
"versi_regular","is_petnica"
"constantdarkmatter","is_petnica"
"babic_f","is_petnica"
"yu7aop","is_petnica"
"bozicn","is_petnica"
"vali__gk","is_petnica"
"vodiczaroditelje","is_petnica"
"marina_u_zemlji_cuda","is_petnica"
"teh_petnica","is_petnica"
"dejankovac11","is_petnica"
"pera_perkan","is_petnica"
"__alienbaby__","is_petnica"
"iridescent.cloud","is_petnica"
"martictea","is_petnica"
"unvizioassurdo","is_petnica"
"pupoljchee","is_petnica"
"oblongacydonia","is_petnica"
"istorijskicasopiskronos","is_petnica"
"sofijaa_v","is_petnica"
"rotaryclubnovisad","is_petnica"
"radakoviccjepametan","is_petnica"
"biljajotic","is_petnica"
"nemanja.knezevic","is_petnica"
"katarinaradevic_","is_petnica"
"marijaandrijic","is_petnica"
"ivananikolicjovanovic","is_petnica"
"elenaangeleska333","is_petnica"
"tanaskovicbosko","is_petnica"
"aleksandrasili","is_petnica"
"antonina_pesovic","is_petnica"
"simiicc","is_petnica"
"_lela90_","is_petnica"
"komparatistika_ns","is_petnica"
"biljana2404","is_petnica"
